Timestamp	How confident are you in the advice process?	In a sentence or two, say more about your confidence rating.	Complete this sentence: "An idea I have for helping all of us become more confident in the advice process is..."
6/22/2022 18:48:20	2	No one listens to me	Ensure that people have to actually listen to me
6/23/2022 9:56:37	9	trust in people	trust in people and train them (beside current challenge)
6/23/2022 9:59:12	6	Im real confident	
6/23/2022 10:12:15	8		
6/23/2022 10:12:44	6		
6/23/2022 10:12:57	10	Doing this daily with my teams	Start teaching social science to people, especially on observing and listening
6/23/2022 10:12:58	6		An easy to use test environment
6/23/2022 10:13:09	7	Culture change needed	Start small, scale later 
6/23/2022 10:13:11	8	What’s the worst that can happen really?	Fail fast and fail often
6/23/2022 10:13:13	9	High confidence	Let FOMO go (for former decision maker aka enterprise architect), establish failure culture 
6/23/2022 10:13:19	8	I check background before asking for help and read about the topic 	Research first
6/23/2022 10:13:19	7	Would want to see it in action	Pair décision making
6/23/2022 10:13:20	7	You get confidence by doing	Trial and error
6/23/2022 10:13:20	1	Easier said than done 	DDD and systems thinking. Psychological safety
6/23/2022 10:13:27	8	Without assuming malicious intent it theoretically provides opportunities to those whom want to take them.	to facilitate people to achieve change.
6/23/2022 10:13:27	7	I'm happy	Make jokes
6/23/2022 10:13:29	8	 	Don’t have an infinitely large group of coworkers (or experts)
6/23/2022 10:13:30	8	It's not excellent, but it is working.	Hire people who have also worked in different companies, to participate in the decision making.
6/23/2022 10:13:30	8		Practise and reflect on the process and goals of the what and why of the process 
6/23/2022 10:13:31	8		Not to be afraid to change up your mind after getting advices and feedback. 
6/23/2022 10:13:32	10		
6/23/2022 10:13:35	6	It depends.	to encourage failure.
6/23/2022 10:13:35	5	I've never used it before, it sounds interesting but if have to try it before I can give a better judgement.	To try it out.
6/23/2022 10:13:38			Everyone facilitates advice sessions turn by turn
6/23/2022 10:13:38	6	Well for all the reasons that have been mentionned on stage :) Trust mainly and the definition of expertise 	Mob review FTW
6/23/2022 10:13:38	8	I think that If implemented correctly and it suits the team it is great, developers need that freedom to design and grow	
6/23/2022 10:13:38	8	Improved Shared understanding 	Just try it
6/23/2022 10:13:41	5	Good most of the time, you don't have any guard or fallback when things go wrong and people don't always get along.	Monitor how much advice is being followed. Have alarms. Hit the brakes before things catch fire.
6/23/2022 10:13:42	9	We return to the basics, and how initial communities were formed. Even today, there are communities were the chief listens to everyone concern and opinion before making a decision. 	Listen to understand, rather to reply
6/23/2022 10:13:43	8	Experience it works in healthy culture	A healthy team culture ;)
6/23/2022 10:13:43	7	It depends a lot on the people involved. There arent always enough knowledgeable people around. 	Making sure everyone is invested in learning 
6/23/2022 10:13:44	7	You need to be able to find the right people and to change the way the organization thins	People must be aware of each other skills. Especially in a remote company this can be tricky. Have some session where people meet and talk
6/23/2022 10:13:44	5	I'm not certain you get the expert advice you need. You get opinions rather than actual expertise.	By ensuring experts are heard and their advice weighted accordingly.
6/23/2022 10:13:44	6	Innovative and inclusive approach	
6/23/2022 10:13:45	7	Advice is primarily a matter of experience	Empower everyone to challenge the advice
6/23/2022 10:13:46	7	We know what we do and what we are good at but we need more precise feedback from stake holders 	Getting our hands more dirty and feel what are users are having problems with 
6/23/2022 10:13:46	8	With the correct people involved and the time, the process will definitely improve	Ensure that the parties and experts are available at the times needed. 
6/23/2022 10:13:46	8	It can be adapted to something applicable	"Just do it"
6/23/2022 10:13:46	8	A new way of thinking, definitely going to try it out!	Timebox the effort and re evaluate the attempt 
6/23/2022 10:13:47	7	Im unsure about large teams or multi team coop	Keep on trying and adapting
6/23/2022 10:13:47	7	Defining boundaries: does the whole company need to be involved to change what is for lunch on a Thursday?	A good place to start to build our process 
6/23/2022 10:13:47	7	It is the correct way, but you need to teach people how to do it	Pairing when deciding
6/23/2022 10:13:51	6	I think it takes time to improve the quality of the advice because people need to be brought up to a certain level. 	Improve the quality of knowledge sharing to make sure that the advice process can have the value that is needed. 
6/23/2022 10:13:54	9	Will people take all issues into consideration?	To have an experienced coach be there to point out issues that should be considered.
6/23/2022 10:13:56	5	It’s context dependent how good or bad it is. I’d be excited to try it though. 	Limit the time people have for giving advise. Otherwise it will become an even bigger bottleneck than a traditional architect 
6/23/2022 10:13:56	7	I trust after validating persons strengths.	Architect talk with others how the decisions are made or what they are thinking while deciding.
6/23/2022 10:13:56	8	I believe the best solutions come from the bottom up	Define experts, domains and ownership. Keep it simple, lean and on the lowest level possible
6/23/2022 10:13:57	7	I think it might work but it takes too long in some context to get all of the advice and it has to be less chaotic. 	A public board that everyone can see which decisions are being made or committed in production. In which the board also indicates which decision has been advice by whom. 
6/23/2022 10:13:57	8	In general I think it can work great, but might be hard to implement in some organizations 	to involve everybody in figuring out who the experts are
6/23/2022 10:13:58	7	I'm generally confident it's a good system, but it has some prerequisites for proper functioning 	
6/23/2022 10:13:58	7	Strong requirements necessary: advice available from experts and people searching/finding all experts	
6/23/2022 10:13:58	9	With trial and error I enriched my skill set and level of expertise	Try and fail, dare to make mistakes
6/23/2022 10:13:59	7	I am fairly confident it could work well in some settings	trying it out in practice
6/23/2022 10:13:59	10	I have full confidence in our experts. If they don’t have the right answer, they will work towards getting the best advice for the given situation. 	Making the decision and advice seeking process transparent. 
6/23/2022 10:14:00	6	Confident when applied in teams with clear experts and good defined affected parties. But I know that those are often not clear nor defined.	Gina a way to define experts (?) and affected parties (stakeholder mapping)
6/23/2022 10:14:01	6	Depends a lot on organisation structure understanding and supporting this	Ensure high participation
6/23/2022 10:14:01	6	Organisation needs to be ready and mature to work this way.	A set of tools, guidance or processes
6/23/2022 10:14:01	8	If team trust and collaboration is high it sounds amazing. For me it is a precondition for the format to work	Be aware of your own biases and practice self-awareness 
6/23/2022 10:14:03	6	I simply don’t know everything. I always value a second opinion	talk about it together
6/23/2022 10:14:04	10	Have worked like this at a client by accident. Was a huge success 	Continuously evaluate, adapt and improve. E.g retrospectives 
6/23/2022 10:14:04	8	More expert opinions lead to better descissions If taken care not to end up in endless discussion	Apoint a lead to the discussion (the one seeking advice should be able to lead thr discussion)
6/23/2022 10:14:05	7	It empowers teams, when the right people are the corner stones 	Support & empower, don't (micro)manage
6/23/2022 10:14:06	7	Not really sure yet what this is about I need to get myself more familiar with that.	I will put much more emphasis on spending time on problem space and making sure that the problem is super clear for everyone. This needs to be the very first step.
6/23/2022 10:14:07	8	I think with the right organisational structure in place, along with coaching, support and transparency of skills, interdependencies and facilitation, this could be a great approach for rapid delivery.	Making sure we have the right organisational structure, 'microservices' for teams.
6/23/2022 10:14:07	5	I have done this before but not often	Try it more often
6/23/2022 10:14:07	9		Speak, say everything what comes in your mind, nothing is stupid, everything will trigger thoughts at the other team members. Eventually you end up with a shared idea
6/23/2022 10:14:07	6	It requires the right people, of the right personal disposition and possess a level of professional empathy that is compatible, which is difficult to find	
6/23/2022 10:14:09	7		clear reasoning process model on making a advice
6/23/2022 10:14:09	8		To get known each other more...
6/23/2022 10:14:10	8	The process will bring creativity and chaos, but could affect stability and security.	Try it out in STAGING before deploying to PROD.
6/23/2022 10:14:10	6	I understand the idea but have to see it in practice	Reflect on decisions made after having all the advices from different parties so as to learn the process and building trust
6/23/2022 10:14:10	8	To be more confident, I think rules should be clarified and introduced.	Make the process transparent, documented (could be very brief), and have rules.
6/23/2022 10:14:11	7		Have a clear expectations on the process and accountability while giving an opportunity for all voices to be heard 
6/23/2022 10:14:11	7	Still junior developer and having a lot to learn	appreciate all advice and ideasy
6/23/2022 10:14:11	6	Less confidence the greater the descision becomes 	Starting small. Mapping out affected parties and experts
6/23/2022 10:14:11	5	Its about skill set	Certification - so you could choose from a pool of people
6/23/2022 10:14:12	5	Missing knowledge and experience.	To stress more the idea that your opinion matters 
6/23/2022 10:14:12	6	Even after getting advice from all parties involved, I worry that we're still overlooking something. Often that turns out to be true.	Documenting advices that lead to specific decision.
6/23/2022 10:14:12	5	Neutral due to a lack of experience with the process	Give us a chance to use it in practice
6/23/2022 10:14:12	8	as long as we can appoint enough SMEs im pretty confident	make a public list of SMEs everyone can use when seeking advice
6/23/2022 10:14:13	4	Not happening in my environment unfortunately 	Trying it
6/23/2022 10:14:13	5	I understand the idea, but I’m not sure about the implications 	Outline possible implications of the process
6/23/2022 10:14:14	8	It's how I've worked for the past 4 years, and it's far better than a central decision maker.	Documenting the decisions taken, in ADRs, fir example, so that they can help future similar decisions.
6/23/2022 10:14:14	6	Lot's of uncertainties.	Imcentivise taking the initiative, but reinforce best practices
6/23/2022 10:14:14	5	It depends of the people s quality	Measure the result with many final decision
6/23/2022 10:14:15	6	Basically, I have trust issues 🙂	to include some sort of accountability process after a decision has been made.
6/23/2022 10:14:15	3		
6/23/2022 10:14:16	7	confident , I think that I can turn all heads in the right direction 	That all parties commit to decision 
6/23/2022 10:14:17	10	It may start chaotic at the beginning but I believe it should lead to something great	Regularly talk/blog/present about what we like / are good at to be identified as such 
6/23/2022 10:14:18	1	Too reductionistic	Collaborative modeling and design skills
6/23/2022 10:14:18	7	I feel that people generally trust each other.	To work on trust
6/23/2022 10:14:18	6	I do think listening is a big skill to master when giving advice. 	Asking if the advice you gave was useful and listen to their feedback.
6/23/2022 10:14:19	9	There is much to learn about the contexts where the advice process is applied. Sometimes for the new context you may not know what people to involve 	to try to make some decisions yourself using the advice process, practice!
6/23/2022 10:14:19	9	If you are not confident in people advice or willing to listen to others advices you probably have a team problem so I'm really confident on that for a good team!	To get to know each other better
6/23/2022 10:14:19	6	Do I know enough to make a wel thought fout advice. Imposter syndrome 	Share and talk about fears. What is common. How do others deal with it.  Remove shame.  
6/23/2022 10:14:21	4	Too much chaos 	By doing it each round of advice will go smoother
6/23/2022 10:14:22	5	Unsure about how well received it will be in the organization. Earlier decision makers will not easily give up their position. 	trying it for some time and evaluate its effect
6/23/2022 10:14:22	8	Great way to break silos, do knowledge sharing and perhaps to lead by example. I like the factor of equality it creates.	Share successes and failures and how any failures were fixed using the same advice process.
6/23/2022 10:14:22	7	I think this system is not growth-proof.	
6/23/2022 10:14:22	6	I think many conflicting ideas can really throw us off track 	Understanding who the affected people are and understanding if we have enough experts to assist 
6/23/2022 10:14:22	9		
6/23/2022 10:14:23	7	I'm certain it can work but it depends on trust and participation as well as a shared strategic outlook	Trying it out to see if it works for you...
6/23/2022 10:14:23	8	I give documented advise mainly	Better understand of how is recieved the advice and always give an extra
6/23/2022 10:14:24	7		Practicing it and trying it out 
6/23/2022 10:14:24	7	Would be fine for 95% of the decisions. For the remaining 5% it can be really harmfull if the wrong call is made. 	A veto for some expert (CTO/Architect). (Eg, this is not advice, but something you have to cooperate in your decisions)
6/23/2022 10:14:24	7	Different experts can have different opinions	Get experts with different views in the same room
6/23/2022 10:14:25	8	Advice comes droom different Angles, which leads to better insights	Just try it out
6/23/2022 10:14:25	6	It is always hard to translate expert thoughts to something useful. And it's even harder to validate if the translation is correct.	Iterate with experts. Try to take things slow.
6/23/2022 10:14:25	6		
6/23/2022 10:14:25	9	The organisation I work for has a super strong feedback culture. I practice the advice process every day	Managers should lead by example, asking feedback to their reporter. The create a safe zone to enable people to practice the advice process 
6/23/2022 10:14:26	5	Crosscheck expert views	repeat and get to the quiet guy in the back of the room
6/23/2022 10:14:27	6	I think it might improve the decision making speed. But I feel it might be a bit of a wild west.	Having a certain control structure to keep someone at the wheel 
6/23/2022 10:14:28	8		to make more senior developers lead by example.
6/23/2022 10:14:29	7	I see it as an opportunity to encourage more people to take and feel responsibility for our solutions, and to grow their roles accordingly.	Make the unit of decision making the team
6/23/2022 10:14:29	7	I am trying to be optimistic but I have my doubts 	Make the decision making process more inclusive. More than one person should have a say about the final outcome
6/23/2022 10:14:29	8	Trust people, and allow error in decision.	Use words like "experiment" or "try" so that we gave space to make errors while knowing that risks are there but we are prepared to handle risks when they'll come.
6/23/2022 10:14:29	9	I think trust given is care and trust received. Over time it will gravitate towards health, if facilitated well.	Just give it time, reflect often, open and honestly, as a group and individually, both on the process and the outcomes.
6/23/2022 10:14:30	8	One answer could change the problems route	to step out of the comfort zone
6/23/2022 10:14:31	6		Communicate more and better  
6/23/2022 10:14:31	9	It ensures all points of view are shared and the more information shared the more accurate and easily understood the advise will be	We want the less expert people to understand the advises correctly (and learn), hence keep them in the loop
6/23/2022 10:14:31	4	Current team has not enough knowledge or experience to implement this process. We lack a shared vision how to implement solutions. In team with more trust confidence in the process would be higher.	Working on a shared idea of how to implement things. 
6/23/2022 10:14:31	9	No process is flawless, it requires the right people and skills to pull off	Sharing our personal experiences using it
6/23/2022 10:14:32	7	Eliminates single point of failure	Explore and challenge the ideas and advices
6/23/2022 10:14:32	6	I have some more questions that need answering before being able to confidently use this. Or I need to use it to figure out how it works and what the results are.	Defining up front whose advice we need to ask for some sample decisions or areas. As well as making sure the advice givers are able to prioritise giving advice as necessary.
6/23/2022 10:14:33	8	Works well when used	Train people, help them to understand they can be part of the process
6/23/2022 10:14:34	7	There are some difficulties, but the general proces is hood	Provide or make documention for each component and who its experts/owners are
6/23/2022 10:14:34	8	We have quite a flat organizational structure, and I feel the right people can always give each other. Keeping the communication lines open in this process helps!	Communicate about decisions made!
6/23/2022 10:14:34	6	I think it can work I would just need to see it to be more confident it works in reality 	Having regular retrospectives on decisions made
6/23/2022 10:14:34	7	I am more confident than not	The advice quality will likely be determined by the expertise of the advisor, the communication styles of the two parties and their compatability. The longer the relationship between the advisor and mentee the better as they will better understand each other and how to work best with each other
6/23/2022 10:14:34	8	Other people making decisions is "simpler", is it going to stick?	Exercise letting go control
